word,kana,meaning,level,mnemonic_story,mnemonic_image
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
見る,みる,see,N5,‘미루’는 눈으로 **‘보다’**라는 뜻,이미지: 눈을 크게 뜨고 보는 사람
行く,いく,go,N5,‘이쿠’는 길을 따라 **‘가다’**,이미지: 길을 따라 가는 사람
飲む,のむ,drink,N5,‘노무’는 음료수를 **‘마시다’**,이미지: 음료수를 마시는 사람
話す,はなす,speak,N5,‘하나스’는 말하는 동작,이미지: 사람들과 대화하는 장면
日本,にほん,Japan,N5,‘니혼’은 두 기둥처럼 일본을 상징함,이미지: 일본의 두 기둥
学生,がくせい,student,N5,‘가쿠세이’는 ‘학교 사람’을 뜻함,이미지: 교실 안에서 책을 읽는 학생들
食べる,たべる,eat,N5,‘타베루’는 밥을 먹는 동작을 의미함,이미지: 밥을 먹고 있는 사람
先生,せんせい,teacher,N5,‘센세이’는 학생들에게 가르치는 선생님,이미지: 칠판 앞에서 가르치는 선생님
本,ほん,book,N5,‘혼’은 책을 가리키는 단어,이미지: 책을 읽고 있는 사람
会う,あう,meet,N5,‘아우’는 친구와 만나는 것,이미지: 친구와 손을 흔들며 만나는 장면
